eta,logging_reward,"ours, gaussian","ours, mixed-logit","london, gaussian","london, mixed-logit","sakhi1, gaussian","sakhi1, mixed-logit","sakhi2, gaussian","sakhi2, mixed-logit"
0.0,0.10000000149011612,0.39510760860443117,0.31009672679901124,0.16384429624080657,0.11256031432151795,0.5602315494537353,0.5062963704109192,0.4918402453422546,0.36115291395187377
0.11,0.20564501132965088,0.6848190671920776,0.6249112422943115,0.35827904720306397,0.24802843413352965,0.6044889392852784,0.53853810338974,0.5978048650741578,0.5269048809051514
0.22,0.339826744222641,0.7338850573539734,0.7144526750564575,0.4995734457015991,0.38150662708282473,0.6210993165969849,0.5636075526237487,0.6373027932167054,0.5697543369293213
0.33,0.4638154876708984,0.7451524886131287,0.734793943309784,0.5989165195465088,0.49008664512634276,0.6490539588928222,0.582642845249176,0.6650550917625427,0.597520670413971
0.44,0.5575644618988037,0.7506985313415527,0.7460375217437745,0.6625407133102417,0.5748159341812134,0.6847735359191894,0.6173395217895508,0.6950265981674194,0.6325582494735718
0.56,0.6278381355285645,0.7538193159103393,0.7542595790863037,0.7073522632598876,0.6382824646949768,0.7169516837120056,0.6581596569061279,0.7220673204421997,0.6666461261749268
0.67,0.6714516384124756,0.7582465277671814,0.760894827079773,0.7329625232696533,0.6776478547096253,0.738677812576294,0.6896049005508423,0.7422920317649842,0.694005656337738
0.78,0.7019966720581055,0.7646404074668884,0.7659731475830078,0.7507888051986694,0.7069282723426819,0.754444868850708,0.7131588750839234,0.7566690508842469,0.7170033088684082
0.89,0.7239159785270691,0.7708834184646607,0.7708587423324585,0.7626790361404419,0.7273791416168213,0.7660151388168335,0.7325597047805786,0.7674829999923706,0.7343278478622437
1.0,0.7400560726165771,0.7777934520721436,0.7744399894714356,0.772049880695343,0.7433801889419556,0.7741509679794312,0.746780385875702,0.7754510374069213,0.7481332386016846
